fr3_joint1,fr3_joint2,fr3_joint3,fr3_joint4,fr3_joint5,fr3_joint6,fr3_joint7
2.080049423281994658e-01,6.407115470866091567e-01,4.330563356469485092e-01,-2.076588230782503430e+00,-3.141835153661172164e-01,2.427163634670893355e+00,7.762389983710042962e-01
6.878787823027096016e-01,6.413514807604051571e-01,5.720916316672054747e-02,-1.968505539331020238e+00,-3.139520085892915091e-01,2.259056250724643444e+00,7.762010238770853388e-01
6.986272146148046758e-02,7.643046434250504451e-01,6.885816976457630467e-01,-2.001900872093990369e+00,-8.697909602177529287e-01,2.165196569267672455e+00,7.766397718297567421e-01
1.964534178874891013e-01,9.138171401362552571e-01,6.858966349315075428e-01,-1.747315704538346948e+00,-8.400124737893197580e-01,1.780880091959236911e+00,7.766342108305076541e-01
-3.424729078970902285e-01,1.134492684389543316e+00,1.141242644119491612e+00,-2.049293258273187757e+00,-1.389891581093820605e+00,1.881356404071515609e+00,7.765407930777303847e-01
-3.561940308837258096e-01,1.323552678677672789e+00,1.169664009628749168e+00,-1.758894122344120570e+00,-9.911995335285351816e-01,1.708505980725757878e+00,7.765308552368532791e-01
-7.078682124386991292e-01,1.310803534036257156e+00,1.112928141925668024e+00,-2.124506242650914256e+00,-1.004535906115213928e+00,2.343638779545149209e+00,7.765570244664793398e-01
-7.508364690746024417e-01,1.315365144910538131e+00,1.147059975071964111e+00,-2.265430547002205142e+00,-1.661739022741355098e+00,2.362151691846023027e+00,7.768682794248666923e-01
7.604083984977912936e-01,6.630979995175850794e-01,-1.465116253438741301e-01,-1.935806106332383925e+00,3.346574305994832743e-01,2.204404533178753400e+00,7.762028254407390415e-01
1.465219459514200517e+00,8.529480491507936968e-01,-7.103354178437352173e-01,-1.932219545490615253e+00,3.255715703259569604e-01,2.202315096624608781e+00,7.761723551833767942e-01
1.488108165413060124e+00,6.756003202833261723e-01,-6.030238742820712705e-01,-2.423210713476703582e+00,3.260239484198440563e-01,3.161295643348090323e+00,7.762066515953975898e-01
1.743070678459674117e+00,1.058680101762201620e+00,-1.095853596682460074e+00,-2.143488810163749481e+00,1.426548439230190146e+00,2.073229161683148192e+00,7.759536154148942710e-01
1.307200132004350923e+00,1.071360735785199303e+00,-9.694663673611959576e-01,-1.906009047117509514e+00,1.422434343102189969e+00,1.552413200247996006e+00,7.759464093592871592e-01
1.991532454699697308e+00,1.345887483155111530e+00,-1.233923329365933075e+00,-2.196754008790647639e+00,1.598357368523214861e+00,2.027217168995448127e+00,7.759511373046475979e-01
1.928160239548134314e+00,1.415847270982080186e+00,-1.213825600030469243e+00,-1.912838041170259906e+00,1.013104572146821258e+00,1.910462282539941548e+00,7.759462445266892550e-01
1.506713617487631662e+00,1.415502647793264401e+00,-1.245236554483486247e+00,-1.677191422514577201e+00,1.339544057020260581e+00,1.319134040644457606e+00,7.759382578662500363e-01
1.878656290594717504e+00,1.013084346706896843e+00,-9.435911204255509332e-01,-2.187364876308815376e+00,6.221173006207515455e-01,2.581734284028366577e+00,7.763888735567708865e-01
1.196182289355151918e+00,7.742760434416985360e-01,-5.776148558654714549e-01,-1.904409274991529788e+00,5.847980060645556755e-01,2.102365759032914116e+00,7.761923106302471842e-01
4.294865844829020007e-01,7.781197798516344966e-01,3.819498884944887984e-01,-1.794584331208428862e+00,-5.751101449666785603e-01,1.954376215927125848e+00,7.768525238990724446e-01
-1.293602463907732314e-01,1.031595270273496734e+00,9.171290462103921515e-01,-1.792096019033832421e+00,-8.122471843885488152e-01,1.853135418170085869e+00,7.768737997043666521e-01
-4.700191838645753073e-01,1.010313501219780141e+00,9.706283993515976150e-01,-2.115361101072235961e+00,-7.695641265663254460e-01,2.418683494874515283e+00,7.768791541731286943e-01
-5.014549482040758788e-01,1.125834263863336737e+00,9.926230747867211823e-01,-1.997873905490893609e+00,-5.519224815506852400e-01,2.254695254047847097e+00,7.764112031158253435e-01
-4.194317334651405105e-01,1.112802707948418401e+00,1.153399216284689999e+00,-2.206557582044776478e+00,-1.679886456774505321e+00,1.976060632117674132e+00,7.773437362638846437e-01
-1.571680939386853326e-01,1.253763851308308475e+00,1.175135141548878215e+00,-2.004675312152056410e+00,-1.670979787156584129e+00,1.438109803095116268e+00,7.769089915277012093e-01
-3.168178361920883090e-01,1.185731979966281768e+00,1.169049623105858027e+00,-2.253906440870635741e+00,-1.952620393164676393e+00,1.653200943783419419e+00,7.769153786263632844e-01
