fr3_joint1,fr3_joint2,fr3_joint3,fr3_joint4,fr3_joint5,fr3_joint6,fr3_joint7
-1.351850000681591515e-02,5.460214036910107094e-01,5.235539087851244500e-03,-2.189781121784227569e+00,-8.455880362546766517e-04,2.655725109698488851e+00,7.755746008894727206e-01
8.513437654083990669e-01,7.272870072119043128e-01,-7.108772777298012491e-01,-2.242351592350225964e+00,9.245095186199855375e-01,2.716498548802707802e+00,7.739097680544301250e-01
1.232290452141341808e+00,1.279662652495935138e+00,-1.211215281069609295e+00,-2.176767613667800472e+00,1.599841335675988407e+00,2.014151981221521837e+00,7.741608950060454575e-01
1.212606895908048044e+00,1.540035131509333466e+00,-1.353059024846153147e+00,-2.061499038800883810e+00,1.628066024387182287e+00,1.637965840760617020e+00,7.741581953841455421e-01
8.699862243417355590e-01,1.534846158638168312e+00,-1.346391836034397160e+00,-1.798709760718862904e+00,1.627633941688642505e+00,1.208059120287606980e+00,7.741392027304733192e-01
1.409745397294753344e+00,1.535108439297727001e+00,-1.283412041523721125e+00,-2.188828318169620424e+00,1.643771244843665436e+00,1.977565729515171622e+00,2.489939785697549701e-01
1.500615140257141711e+00,1.394656276232326020e+00,-9.324166603653669672e-01,-2.232738900317293052e+00,2.115847719615817635e+00,2.929752417789234453e+00,2.489944580217469949e-01
8.767682145412633021e-01,9.551357027578885051e-01,-8.304839547411513312e-01,-1.891846595851028656e+00,4.850012517539785684e-01,2.125093520166394523e+00,1.796013104433360930e+00
9.887293046337897184e-01,8.088436923364520359e-01,-7.890117567353110983e-01,-2.250097419859768966e+00,5.536236054622106773e-01,2.752274276952272558e+00,1.796025289593188967e+00
1.347308805351008498e+00,1.189206620990852503e+00,-1.003616446955783781e+00,-2.211707009517000611e+00,8.439829418586739518e-01,2.630269721067604038e+00,1.795384145499899775e+00
1.340587588261357377e+00,1.139029634476493635e+00,-9.064098313179218547e-01,-2.326634475700390503e+00,7.230432474922360297e-01,2.966903904922690405e+00,1.795992982716268171e+00
4.900720443471016652e-01,5.785784011828268847e-01,-3.627547417109939776e-01,-2.298855393695527827e+00,9.814422924705660245e-01,2.927730060381973587e+00,-9.096605207373816004e-02
-8.399779182080056028e-01,7.424945687931944205e-01,6.733176075972530095e-01,-2.156279626215180212e+00,-9.629246158349484552e-02,2.596579609728069116e+00,7.971883889394896228e-01
-1.031127348355545870e+00,8.661532756647705167e-01,8.036014116302629962e-01,-2.157518741355132885e+00,-9.706575936351792555e-02,2.596550689077577800e+00,1.271857685441765140e-01
-6.500681624069990505e-01,9.281998362457424268e-01,6.554236758371622118e-01,-1.717297352592822346e+00,-3.722210157309763789e-01,1.927355173815971323e+00,7.013899380206313205e-01
-1.112855388202325546e+00,1.187995605445880010e+00,1.127129902648775994e+00,-1.974582182990036738e+00,-1.114625713157087139e+00,1.999207109429082418e+00,7.622463768688183539e-01
-9.083195210356717064e-01,1.189729357381248409e+00,1.099172346601172467e+00,-1.808755609500455996e+00,-1.116042247365137463e+00,1.715614676517211112e+00,7.622387686900827797e-01
-1.333030581217536037e+00,1.189634881283306189e+00,1.060071768625185040e+00,-2.175690955752526801e+00,-1.105534410044579641e+00,2.476868569099592854e+00,7.622376097542552520e-01
-1.184817878922326262e+00,1.025115561144835929e+00,9.426240768642123458e-01,-2.128356403453294021e+00,-5.557671966180266487e-01,2.501466191191553001e+00,7.619797252625037931e-01
-1.282125038813349827e+00,1.048110076729004803e+00,8.659816232706948336e-01,-2.341764160741651501e+00,-6.859581633399345346e-01,3.026418785613521401e+00,7.619978678542586037e-01
-1.057140213023500364e+00,1.424027746328721200e+00,1.251522862230810107e+00,-1.745538297498002489e+00,-1.130019329616829493e+00,1.612618684583669415e+00,7.624369190093455151e-01
-1.400867047042203772e+00,1.423825419896547650e+00,1.178316500930940425e+00,-2.064349821137470009e+00,-1.097161860841720182e+00,2.190011776736758620e+00,7.624193626045403516e-01
-1.517031174870322241e+00,1.419070657217033737e+00,1.092304609847801311e+00,-2.223680063699100984e+00,-1.364926086052472787e+00,2.529560963713673782e+00,7.624377318767072698e-01
-1.515739944798428183e-02,6.823023418801650308e-01,-8.185077009355100353e-02,-1.903594081211370082e+00,3.724695285382519372e-01,2.172343512994818759e+00,7.764448746424134074e-01
-4.459901602416759259e-01,7.929331313494770717e-01,3.586976802144041798e-01,-1.788905981514304022e+00,3.049461460877766691e-02,2.052239817592528937e+00,7.763578163477702354e-01
-6.255268890818539429e-01,8.496149001170717474e-01,6.445546345322809012e-01,-1.827093959176066207e+00,-4.815768206117387873e-01,2.047364653008622248e+00,7.764061905882861936e-01
6.855391295650878902e-01,9.154389458097764720e-01,-8.221043106989591731e-01,-1.882754327730578048e+00,9.147672120995830047e-01,1.954460356851174696e+00,7.747691649776577982e-01
9.345601116968212940e-01,1.032005378018038266e+00,-1.060950819794541200e+00,-2.087935821437207018e+00,1.432676472423124903e+00,1.953328421555446504e+00,2.831476293804654487e-01
1.187107171826011554e+00,1.032515241569575970e+00,-1.032800913764120088e+00,-2.232877676390505162e+00,1.474544941861798630e+00,2.427940891732790263e+00,2.831444887594919413e-01
-9.728690904949470752e-01,1.168466649836905402e+00,1.129484339335626863e+00,-1.930544551546168774e+00,-1.255455423997793085e+00,1.792469782606394224e+00,8.806540896700566501e-01
-1.296442229018953229e+00,1.170837360580244013e+00,1.089458081084729413e+00,-2.171786624670726251e+00,-1.253990147303088776e+00,2.381163364983898578e+00,8.805862215826031347e-01
-1.370439564470292026e+00,1.166530888928406950e+00,9.553772341582953409e-01,-2.263097632722876895e+00,-1.254552174645796381e+00,2.803294043180736494e+00,6.543925572814516256e-01
