fr3_joint1,fr3_joint2,fr3_joint3,fr3_joint4,fr3_joint5,fr3_joint6,fr3_joint7
-2.035610908831623878e+00,1.340188992607783680e+00,1.017807546790722828e+00,-2.230768190950525032e+00,-1.044784756447871832e+00,2.698162037340727348e+00,7.038362934196180642e-01
-2.043057679084133937e+00,1.337316576172843829e+00,1.025809793938486481e+00,-2.262010017623799385e+00,-1.731506910647447661e+00,2.698389625926997937e+00,7.043995792093962205e-01
-1.521180045473808251e+00,1.338201792329865913e+00,1.248636462468696751e+00,-2.041456826284740789e+00,-1.728182832183346118e+00,1.483824497180171731e+00,7.040985533145178721e-01
-1.729894379321170739e+00,1.336659838835317915e+00,1.247774335366982790e+00,-2.267737436430652842e+00,-1.997421713089568174e+00,1.711531463130360420e+00,1.760944857210086090e+00
-7.603507872135525925e-02,6.808595827460189875e-01,-5.972279931716344414e-01,-2.134466696593496859e+00,1.243026438362868857e+00,2.273497804686049228e+00,6.939380742006859837e-01
5.435583704979062292e-01,8.983302754066297968e-01,-7.902746724423252989e-01,-2.283249035693174278e+00,1.229147179069596474e+00,2.936447746199072117e+00,6.939908587347343172e-01
8.061982998592146510e-01,1.201722976446050639e+00,-8.656210686723648795e-01,-2.293948101907521853e+00,1.229054521866814298e+00,3.042322727035023266e+00,6.939805645748791108e-01
3.415388783490970748e-01,1.171252738519941605e+00,-1.109491261526738937e+00,-1.885509321745671540e+00,1.239139342868986748e+00,1.732912741814763846e+00,6.939549666283653107e-01
3.415093824088688557e-01,1.350979162222874841e+00,-1.213794433269372641e+00,-2.131271719752430016e+00,1.950133284108003906e+00,1.361298582503372767e+00,6.939643199683536157e-01
4.698091512489607768e-01,1.351318097765146442e+00,-1.104852950885784946e+00,-1.647303689990319731e+00,7.185566500207170026e-01,1.730685248202612270e+00,1.287391431661187857e+00
9.237497662902127704e-01,1.349631695471019466e+00,-9.765468420319186604e-01,-2.269838457063014125e+00,1.144801669411110501e+00,2.815571462212385079e+00,1.287353833961700111e+00
9.222877504133206727e-01,1.535881638366145330e+00,-1.194573083453831730e+00,-2.411716835083674848e+00,2.328027681889967226e+00,2.007645884055104357e+00,1.287374662139593173e+00
-8.301439172550074963e-02,7.168661164425745858e-01,-5.097654844165812049e-01,-1.970897896677307193e+00,5.356582463428922747e-01,2.240840397174213017e+00,7.109023425103417893e-01
-1.258613910336058073e+00,8.144343848168464906e-01,6.501793424927173604e-01,-1.915781762125620791e+00,-3.663249758777072929e-01,2.193426601089794037e+00,7.127496355221701885e-01
-1.493075430532692316e+00,1.044376052980825254e+00,1.039798274979243597e+00,-1.978561861933174848e+00,-1.191444277953651598e+00,1.951569165702929931e+00,7.127664210634102604e-01
-1.776812524199051335e+00,1.039851296550357018e+00,9.938102894525344677e-01,-2.192220361469841006e+00,-1.126087369262696258e+00,2.539092110716462791e+00,7.122797535111576872e-01
-1.274335409142423936e+00,1.041347440032481364e+00,9.969138311010358189e-01,-1.962312159730903893e+00,-1.446908267642435852e+00,1.672259669253830960e+00,7.122654547144874337e-01
