fr3_joint1,fr3_joint2,fr3_joint3,fr3_joint4,fr3_joint5,fr3_joint6,fr3_joint7
-1.964914657918817933e-02,6.207582482020121972e-01,-4.391433516353550615e-01,-2.123286864252981854e+00,4.158725614639706691e-01,2.414369750662692216e+00,7.765218608203022788e-01
4.272279721270705877e-01,7.852254064116988008e-01,-8.436603784361408342e-01,-2.196397179160904933e+00,1.006954591125443610e+00,2.405049227583906823e+00,7.751680529629144667e-01
1.495756288686788012e-02,8.303090695458884563e-01,-7.202324077176577299e-01,-1.977460790041215999e+00,1.115899195208888361e+00,1.864675367366224634e+00,7.751999526791067963e-01
6.881063134342756404e-01,1.021648735116786444e+00,-1.062739350064107358e+00,-2.221595815901572735e+00,1.323283464518274721e+00,2.280873358176994437e+00,7.754013325319916161e-01
8.175603823652737301e-01,1.019995433483379177e+00,-8.666477659797116040e-01,-2.337622561348487782e+00,1.390556626103492732e+00,2.917822645900607359e+00,7.754341158179339777e-01
7.724356581080058515e-01,1.385088297123654222e+00,-1.274392623115546908e+00,-2.129172799612824907e+00,1.489536070243354215e+00,1.814825696592185622e+00,7.756370106366711203e-01
1.025221637277737186e+00,1.382821882588937346e+00,-1.145340664321309321e+00,-2.283005109866582671e+00,1.497828691406367430e+00,2.354042158268887963e+00,7.756380312199172566e-01
3.263193102663217715e-01,1.384265579608299657e+00,-1.223524294696992643e+00,-1.950237804915142759e+00,1.688427461903891258e+00,1.217435067067821342e+00,7.756250653166357756e-01
6.149473400567051495e-01,1.385089712047473220e+00,-1.194444427211338366e+00,-1.776647904047577331e+00,9.588330678659741091e-01,1.670585965463472267e+00,7.756115884121308479e-01
1.046668089977487837e+00,1.385785680220902982e+00,-1.115923571806986203e+00,-2.281872901094449180e+00,1.414532768200990054e+00,2.431118736657166490e+00,7.756404762208647385e-01
9.885547483249537137e-01,1.524108409084903304e+00,-1.254558471786629825e+00,-2.169768733435292862e+00,1.394666889622091732e+00,2.030389868042182133e+00,7.756185771378280025e-01
3.861169168380392258e-01,1.516175961146658979e+00,-1.306733243118772370e+00,-1.968948786686147479e+00,1.799394489887419235e+00,1.115290558306149871e+00,7.756199134592470790e-01
6.221129981794548680e-01,1.524333116474516858e+00,-1.285546113567990201e+00,-1.709321340003681744e+00,1.052747752344139753e+00,1.518023618722872836e+00,2.827580160301539913e-01
7.159461944762507413e-01,1.498586644557216019e+00,-1.275020259313760507e+00,-2.367053955302159007e+00,2.178019675945910727e+00,1.440767640953812156e+00,-7.727708439960560838e-02
1.171444284571523387e+00,1.510520669967503116e+00,-1.070634197814988031e+00,-2.368274502150915062e+00,1.982031080098884956e+00,2.521981990407458074e+00,-7.724443030934596832e-02
1.147620785258239628e+00,1.510563903215697001e+00,-1.081588073374435854e+00,-2.283900112413443928e+00,1.335109613223397940e+00,2.518022997167651322e+00,-7.726745974012447227e-02
-7.209610205127189309e-01,5.414792882899827076e-01,2.122720988308099410e-01,-2.205950384165979106e+00,-1.350845513861448355e-01,2.580131759259111313e+00,2.785538271050149173e-01
-7.095651358054790858e-01,7.832463119868880996e-01,2.525448036443261879e-01,-1.752851832138860422e+00,-1.815773686348857718e-01,1.920200402523298600e+00,2.785577232112690371e-01
-9.618613688264323613e-01,8.082157942602152811e-01,5.426094617381742591e-01,-1.828741250482298852e+00,-4.761093825260255818e-01,1.962134194182391989e+00,2.864658268781284378e-01
-1.366167416439316051e+00,8.085998566855562286e-01,8.738135932910404691e-01,-2.150472069409905540e+00,-1.042393778253737358e+00,2.282718256414576707e+00,4.082850570070233887e-01
-1.602373728774264761e+00,1.145708959530322923e+00,1.148257743292782740e+00,-2.091867141028028065e+00,-1.280246521433137330e+00,1.967634155560595621e+00,4.082731123350557545e-01
-1.636486727090589843e+00,1.353757471723951555e+00,1.276635158595420982e+00,-2.084655100309592335e+00,-1.505219248592730930e+00,1.695897694798730537e+00,4.082845443704897215e-01
-1.962291310939606515e+00,1.351164178069758082e+00,1.148295146277783951e+00,-2.271384569756710103e+00,-1.490092726066635676e+00,2.349038196919102539e+00,4.082879694582348673e-01
-2.003759590201776408e+00,1.354982524926245491e+00,1.094209171699167760e+00,-2.294259324806633416e+00,-1.489919653534010013e+00,2.503004918245837374e+00,1.385341003476840083e+00
